Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,14,"Vegetable plaiting materials, vegetable products nes",1,No Quantity,,,,,,,61862358,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,14,"Vegetable plaiting materials, vegetable products nes",1,No Quantity,,,,,,,64378591,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,14,"Vegetable plaiting materials, vegetable products nes",1,No Quantity,,,,,,,71031472,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,15,"Animal,vegetable fats and oils, cleavage products, et",1,No Quantity,,,,,,,957414802,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,15,"Animal,vegetable fats and oils, cleavage products, et",1,No Quantity,,,,,,,1190391727,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,15,"Animal,vegetable fats and oils, cleavage products, et",1,No Quantity,,,,,,,1134859458,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,15,"Animal,vegetable fats and oils, cleavage products, et",1,No Quantity,,,,,,,1390936453,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,15,"Animal,vegetable fats and oils, cleavage products, et",1,No Quantity,,,,,,,1627783296,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,1616335949,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,1399019341,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,1373979648,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,1463675442,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,16,"Meat, fish and seafood food preparations nes",1,No Quantity,,,,,,,1454700800,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,1297415321,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,1341884890,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,1236722905,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,1282311192,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,,,,,1452148608,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,1175562671,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,1149946006,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,1134950869,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,1089890355,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,,,,,1178408960,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,19,"Cereal, flour, starch, milk preparations and products",1,No Quantity,,,,,,,714187113,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,19,"Cereal, flour, starch, milk preparations and products",1,No Quantity,,,,,,,808338787,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,19,"Cereal, flour, starch, milk preparations and products",1,No Quantity,,,,,,,872792923,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,19,"Cereal, flour, starch, milk preparations and products",1,No Quantity,,,,,,,1030753573,,,0
